Starting hyperparameter search at Sun 11 May 2025 12:38:12 AM EDT
Logging to: /home/suongtr/Mol4Eng/Mol4Eng_macrocyclic_peptide_permeability/logs/MLP_e3fp/strat_split_monomer/run_20250511_003812.txt
➤ Preprocessing: bits=1024, level=3, radius=1.0
Training: hidden=64, lr=1e-3, agg=mean
===> New best model found! Val score: 0.00771273636427082
Training: hidden=64, lr=1e-3, agg=sum
===> New best model found! Val score: 0.007690757156395521
Training: hidden=64, lr=1e-3, agg=softmax
Training: hidden=64, lr=1e-3, agg=softmin
Training: hidden=64, lr=1e-4, agg=mean
Training: hidden=64, lr=1e-4, agg=sum
===> New best model found! Val score: 0.007673538566612807
Training: hidden=64, lr=1e-4, agg=softmax
Training: hidden=64, lr=1e-4, agg=softmin
Training: hidden=128, lr=1e-3, agg=mean
Training: hidden=128, lr=1e-3, agg=sum
Training: hidden=128, lr=1e-3, agg=softmax
Training: hidden=128, lr=1e-3, agg=softmin
Training: hidden=128, lr=1e-4, agg=mean
Training: hidden=128, lr=1e-4, agg=sum
Training: hidden=128, lr=1e-4, agg=softmax
Training: hidden=128, lr=1e-4, agg=softmin
Training: hidden=256, lr=1e-3, agg=mean
Training: hidden=256, lr=1e-3, agg=sum
===> New best model found! Val score: 0.0075035778811720555
Training: hidden=256, lr=1e-3, agg=softmax
Training: hidden=256, lr=1e-3, agg=softmin
Training: hidden=256, lr=1e-4, agg=mean
Training: hidden=256, lr=1e-4, agg=sum
Training: hidden=256, lr=1e-4, agg=softmax
Training: hidden=256, lr=1e-4, agg=softmin
➤ Preprocessing: bits=1024, level=3, radius=2.0
Training: hidden=64, lr=1e-3, agg=mean
===> New best model found! Val score: 0.005998442871648757
Training: hidden=64, lr=1e-3, agg=sum
===> New best model found! Val score: 0.005283293645890033
Training: hidden=64, lr=1e-3, agg=softmax
Training: hidden=64, lr=1e-3, agg=softmin
Training: hidden=64, lr=1e-4, agg=mean
Training: hidden=64, lr=1e-4, agg=sum
Training: hidden=64, lr=1e-4, agg=softmax
Training: hidden=64, lr=1e-4, agg=softmin
Training: hidden=128, lr=1e-3, agg=mean
Training: hidden=128, lr=1e-3, agg=sum
Training: hidden=128, lr=1e-3, agg=softmax
Training: hidden=128, lr=1e-3, agg=softmin
Training: hidden=128, lr=1e-4, agg=mean
Training: hidden=128, lr=1e-4, agg=sum
===> New best model found! Val score: 0.005270663856482897
Training: hidden=128, lr=1e-4, agg=softmax
Training: hidden=128, lr=1e-4, agg=softmin
Training: hidden=256, lr=1e-3, agg=mean
===> New best model found! Val score: 0.005150381468358587
Training: hidden=256, lr=1e-3, agg=sum
===> New best model found! Val score: 0.0049414005313740406
Training: hidden=256, lr=1e-3, agg=softmax
Training: hidden=256, lr=1e-3, agg=softmin
Training: hidden=256, lr=1e-4, agg=mean
Training: hidden=256, lr=1e-4, agg=sum
Training: hidden=256, lr=1e-4, agg=softmax
Training: hidden=256, lr=1e-4, agg=softmin
➤ Preprocessing: bits=1024, level=3, radius=3.0
Training: hidden=64, lr=1e-3, agg=mean
Training: hidden=64, lr=1e-3, agg=sum
Training: hidden=64, lr=1e-3, agg=softmax
Training: hidden=64, lr=1e-3, agg=softmin
Training: hidden=64, lr=1e-4, agg=mean
Training: hidden=64, lr=1e-4, agg=sum
Training: hidden=64, lr=1e-4, agg=softmax
Training: hidden=64, lr=1e-4, agg=softmin
Training: hidden=128, lr=1e-3, agg=mean
Training: hidden=128, lr=1e-3, agg=sum
===> New best model found! Val score: 0.004854578505285451
Training: hidden=128, lr=1e-3, agg=softmax
Training: hidden=128, lr=1e-3, agg=softmin
Training: hidden=128, lr=1e-4, agg=mean
Training: hidden=128, lr=1e-4, agg=sum
Training: hidden=128, lr=1e-4, agg=softmax
Training: hidden=128, lr=1e-4, agg=softmin
Training: hidden=256, lr=1e-3, agg=mean
Training: hidden=256, lr=1e-3, agg=sum
===> New best model found! Val score: 0.00450375278220802
Training: hidden=256, lr=1e-3, agg=softmax
Training: hidden=256, lr=1e-3, agg=softmin
Training: hidden=256, lr=1e-4, agg=mean
Training: hidden=256, lr=1e-4, agg=sum
Training: hidden=256, lr=1e-4, agg=softmax
Training: hidden=256, lr=1e-4, agg=softmin
➤ Preprocessing: bits=1024, level=4, radius=1.0
Training: hidden=64, lr=1e-3, agg=mean
Training: hidden=64, lr=1e-3, agg=sum
Training: hidden=64, lr=1e-3, agg=softmax
Training: hidden=64, lr=1e-3, agg=softmin
Training: hidden=64, lr=1e-4, agg=mean
Training: hidden=64, lr=1e-4, agg=sum
Training: hidden=64, lr=1e-4, agg=softmax
Training: hidden=64, lr=1e-4, agg=softmin
Training: hidden=128, lr=1e-3, agg=mean
Training: hidden=128, lr=1e-3, agg=sum
Training: hidden=128, lr=1e-3, agg=softmax
Training: hidden=128, lr=1e-3, agg=softmin
Training: hidden=128, lr=1e-4, agg=mean
Training: hidden=128, lr=1e-4, agg=sum
Training: hidden=128, lr=1e-4, agg=softmax
Training: hidden=128, lr=1e-4, agg=softmin
Training: hidden=256, lr=1e-3, agg=mean
Training: hidden=256, lr=1e-3, agg=sum
Training: hidden=256, lr=1e-3, agg=softmax
Training: hidden=256, lr=1e-3, agg=softmin
Training: hidden=256, lr=1e-4, agg=mean
Training: hidden=256, lr=1e-4, agg=sum
Training: hidden=256, lr=1e-4, agg=softmax
Training: hidden=256, lr=1e-4, agg=softmin
➤ Preprocessing: bits=1024, level=4, radius=2.0
Training: hidden=64, lr=1e-3, agg=mean
Training: hidden=64, lr=1e-3, agg=sum
Training: hidden=64, lr=1e-3, agg=softmax
Training: hidden=64, lr=1e-3, agg=softmin
Training: hidden=64, lr=1e-4, agg=mean
Training: hidden=64, lr=1e-4, agg=sum
Training: hidden=64, lr=1e-4, agg=softmax
Training: hidden=64, lr=1e-4, agg=softmin
Training: hidden=128, lr=1e-3, agg=mean
Training: hidden=128, lr=1e-3, agg=sum
Training: hidden=128, lr=1e-3, agg=softmax
Training: hidden=128, lr=1e-3, agg=softmin
Training: hidden=128, lr=1e-4, agg=mean
Training: hidden=128, lr=1e-4, agg=sum
Training: hidden=128, lr=1e-4, agg=softmax
Training: hidden=128, lr=1e-4, agg=softmin
Training: hidden=256, lr=1e-3, agg=mean
Training: hidden=256, lr=1e-3, agg=sum
Training: hidden=256, lr=1e-3, agg=softmax
Training: hidden=256, lr=1e-3, agg=softmin
